Damien Bunny,pić kawę/to have some coffee
Damien Bunny,prosić o podwyżkę/to ask for a pay-raise
Damien Bunny,być z powrotem w biurze/to be back in the office
Damien Bunny,widzieć kogoś/to see sb
Damien Bunny,być podekscytowanym/to be excited
Damien Bunny,nie móc się doczekać/can't wait
Damien Bunny,zaczynać kurs angielskiego/to start an English course
Damien Bunny,rozmawiać z kimś/to talk to sb
Damien Bunny,być gotowym/to be ready
Damien Bunny,bać się czegoś/to be afraid of sth
Damien Bunny,przegrywać sprawę/to lose a case
Damien Bunny,przez ciebie/because of you
Damien Bunny,błąd/a mistake
Damien Bunny,odwiedzać kogoś/to visit sb
Damien Bunny,odkładać spotkanie/to put off a meeting
Damien Bunny,cały czas/all the time
Damien Bunny,wszystkie miejsca/all the places
Damien Bunny,wszystkie rzeczy/all the things
Damien Bunny,cała reszta/all the rest
Damien Bunny,wszystkie pieniądze/all the money
Damien Bunny,wszyscy ludzie/all the people
Damien Bunny,wszystkie dokumenty/all the documents
Damien Bunny,wszystkie informacje/all the information
Damien Bunny,wszystkie wspomnienia/all the memories
Damien Bunny,wszystkie państwa/all the countries
Damien Bunny,wszystkie zmiany/all the changes
Damien Bunny,cała miłość/all the love
Damien Bunny,wszystkie wiadomości/all the news
Damien Bunny,cała pomoc/all the help
Damien Bunny,odbierać kogoś ze szkoły/to pick sb up from school
Damien Bunny,spać u twojej koleżanki/to sleep at your friend's
Damien Bunny,jeść na mieście/to eat out
Damien Bunny,wydawać na coś pieniądze/to spend money on sth
Damien Bunny,być w domu/to be at home
Damien Bunny,być cicho/to be silent
Damien Bunny,odpowiadać na pytanie/to answer a question
Damien Bunny,robić pracę domową/to do your homework
Damien Bunny,jechać na wakacje/to go on vacation
Damien Bunny,nie mieć pieniędzy/to have no money
Damien Bunny,znajdować czas dla kogoś/to find time for sb
Damien Bunny,być dla kogoś ważnym/to be important to sb
Damien Bunny,skupiać się na czymś/to focus on sth
Damien Bunny,być głośno/to be loud
Damien Bunny,grać mecz/to play a match
Damien Bunny,dołączać do kogoś/to join sb
Damien Bunny,jechać na wakacje/to go on vacation
Damien Bunny,oszczędzać pieniądze/to save some money
Damien Bunny,dawać komuś znać/to let sb know
Damien Bunny,kończyć pracę/to finish work
Damien Bunny,iść wcześnie spać/to go to sleep early
Damien Bunny,robić prezentację/to give a presentation
Damien Bunny,tęsknić za domem/to feel homesick
Damien Bunny,dzwonić do kogoś/to call sb
Damien Bunny,być w domu/to be at home
Damien Bunny,raz/once
Damien Bunny,wyjeżdżać z miasta/to leave town
Damien Bunny,dzwonić do kogoś/to call sb
Damien Bunny,uczyć się do testu/to study for a test
Damien Bunny,zawozić kogoś do domu/to take sb home
Damien Bunny,jeść kolację/to eat dinner
Damien Bunny,oglądać mecz/to watch a match
Damien Bunny,wpadać (do kogoś)/to drop by
Damien Bunny,w weekend/on the weekend
Damien Bunny,Co powiesz na.../What about...
Damien Bunny,powstrzymywać się od czegoś/to refrain from sth
Damien Bunny,odnosić odwrotny skutek/to backfire
Damien Bunny,obracać się przeciwko komuś/to backfire on sb
Damien Bunny,być spłukanym/to be broke
Damien Bunny,być zrobionym/to be done
Damien Bunny,uczyć się do egzaminu/to study for an exam
Damien Bunny,poznawać kogoś/to meet sb
Damien Bunny,jechać nad jezioro/to go to the lake
Damien Bunny,przeziębiać się/to catch a cold
Damien Bunny,bać się czegoś/to be afraid of sth
Damien Bunny,przeprowadzać się/to move
Damien Bunny,znajdować nową pracę/to find a new job
Damien Bunny,mieć energię/to have energy
Damien Bunny,pić kawę/to have some coffee
Damien Bunny,prosić o podwyżkę/to ask for a pay-raise
Damien Bunny,być z powrotem w biurze/to be back in the office
Damien Bunny,widzieć kogoś/to see sb
Damien Bunny,być podekscytowanym/to be excited
Damien Bunny,nie móc się doczekać/can't wait
Damien Bunny,zaczynać kurs angielskiego/to start an English course
